book_num,book_title,start,end,words
1,ADI PARVA,0,275832,275832
2,ANUSASANA PARVA,275833,367081,91248
3,ASRAMAVASIKA PARVA,367082,757989,390907
4,ASWAMEDHA PARVA,757990,833475,75485
5,BHISHMA PARVA,833476,1064135,230659
6,DRONA PARVA,1064136,1263419,199283
7,KARNA-PARVA,1263420,1571303,307883
8,MAHAPRASTHANIKA PARVA,1571304,1738931,167627
9,MAUSALA-PARVA,1738932,1849673,110741
10,SABHA PARVA,1849674,1875034,25360
11,SANTI PARVA,1875035,1901104,26069
12,SAUPTIKA-PARVA,1901105,2537403,636298
13,SHALYA-PARVA,2537404,2889209,351805
14,STRI-PARVA,2889210,2997336,108126
15,SVARGAROHANIKA-PARVA,2997337,3036649,39312
16,UDYOGA PARVA,3036650,3046212,9562
17,VANA PARVA,3046213,3049887,3674
18,VIRATA PARVA,3049888,3060239,10351